"","x"
"1",59.5
"2",22.2
"3",22.3
"4",28.1
"5",73.3
"6",113.9
"7",53
"8",126
"9",101.6
"10",143.4
"11",133.8
"12",25.6
"13",87.1
"14",30.8
"15",86.4
"16",31
"17",24.4
"18",51.6
"19",24
"20",82.6
"21",42.4
"22",65.8
"23",73
"24",28.9
"25",59
"26",54.7
"27",23.3
"28",20.2
"29",86.2
"30",27.4
"31",17.5
"32",35.4
"33",94.5
"34",86.9
"35",43.1
"36",51
"37",56.9
"38",79.1
"39",29.6
"40",22.5
"41",92.3
"42",68.5
"43",93
"44",54.7
"45",37.9
"46",76.4
"47",20.4
"48",53.1
"49",42.2
"50",25.6
"51",39.1
"52",48.8
"53",17
"54",22.2
"55",26
"56",39.3
"57",15.1
"58",38
"59",56.3
"60",39.2
"61",33
"62",41.7
"63",29
"64",16.1
"65",48.7
"66",63.3
"67",32.7
"68",21.1
"69",27.4
"70",42.7
"71",49.1
"72",99.9
"73",36.1
"74",65.3
"75",50.6
"76",16.6
"77",15.1
"78",33.5
"79",24.4
"80",97.1
"81",72.8
"82",64.9
"83",29.8
"84",40.8
"85",30.3
"86",61.6
"87",28
"88",34.1
"89",75.7
"90",32.1
"91",50.3
"92",31.2
"93",27.5
"94",13.1
"95",22.1
"96",21.5
"97",39
"98",58.9
"99",37.5
"100",31.2
"101",25.5
"102",30.9
"103",89
"104",34.9
"105",35.3
"106",24.2
"107",102.4
"108",34.7
"109",33.2
"110",30.4
"111",99.2
"112",23.5
"113",57.1
"114",24.3
"115",49.6
"116",22.9
"117",22
"118",119.5
"119",15.4
"120",35.4
"121",36.6
"122",44.8
"123",39.4
"124",33.8
"125",34.8
"126",56.7
"127",76.6
"128",45
"129",31.5
"130",78
"131",76.5
"132",50.4
"133",55.5
"134",68.9
"135",25.1
"136",67.2
"137",37.5
"138",17.3
"139",18.2
"140",59
"141",61.9
"142",50.9
"143",48.6
"144",152
"145",70.3
"146",20
"147",75
"148",23.4
"149",23.9
"150",76.9
"151",39.8
"152",37
"153",44.7
"154",56.4
"155",45.3
"156",55.5
"157",28
"158",22.4
"159",30.3
"160",90.7
"161",21.1
"162",54.1
"163",16.7
"164",56.9
"165",39.7
"166",62.2
"167",25.4
"168",42.9
"169",90.3
"170",68
"171",28.6
"172",53.3
"173",33.4
"174",34.6
"175",25
"176",53
"177",36.9
"178",25.1
"179",30.6
"180",26
"181",210.4
"182",71.7
"183",47.1
"184",78.8
"185",27
"186",42.5
"187",21.6
"188",25.1
"189",44.1
"190",57.5
"191",39.9
"192",32.9
"193",101.3
"194",108.4
"195",44.7
"196",44
"197",11.3
"198",31.7
"199",33.2
"200",53.8
"201",29.6
"202",14.6
"203",22.8
"204",74.7
"205",27.9
"206",49
"207",25.2
"208",13.9
"209",56
"210",121.3
"211",27.4
"212",49.2
"213",24.2
"214",24.7
"215",32.9
"216",65.1
"217",45.7
"218",54.8
"219",67.8
"220",18.4
"221",28.2
"222",58
"223",57.1
"224",90.8
"225",9.2
"226",115.4
"227",31
"228",30.7
"229",37.1
"230",21.9
"231",62.1
"232",63.7
"233",60.5
"234",82.5
"235",52.6
"236",41.5
"237",19.9
"238",31.6
"239",38.5
"240",64.6
"241",47.9
"242",17.9
"243",66.3
"244",79.1
"245",27
"246",121.3
"247",78
"248",20.4
"249",70.9
"250",38.5
"251",21.4
"252",33.6
"253",44.3
"254",50.3
"255",39.4
"256",22.1
"257",47.4
"258",55.9
"259",20.9
"260",28.2
"261",30.7
"262",16.9
