"","alpha","beta","eps","T1","L","M"
"y1...1",0.0879834982741999,1.03622765809571,0.00127,5,0.249824533537093,0.121798449240043
"y1...2",0.0542142178831807,0.682226498615134,0.00315,6.9,0.370592535654021,0.122848001963187
"y1...3",0.10931546371276,1.25331727672526,5e-05,4.2,0.204260806954946,0.118789318428421
"y1...4",0.172758649650588,2.12810075079476,0.00023,2.1,0.0984110426256167,0.0881881655137351
"y1...5",0.0824826617109321,1.00303748794338,0.00077,5.3,0.251327847242761,0.118302050419485
"y1...6",0.0967636717106488,1.12940486824941,0.00147,4.5,0.223503645915644,0.117768170633819
"y1...7",0.139600817089003,1.60780340052475,0.00031,3.1,0.146301656381356,0.105926361793973
"y1...8",0.0897341951737436,1.05884380885239,0.00082,5.1,0.245756885971981,0.122209354337383
"y1...9",0.0343341895911814,0.36321289425763,0.00705,10,0.870822086293953,0.176849979605657
"y1...10",0.039677996966835,0.458546547645889,0.01452,7,0.503498961165085,0.119225705290537
"y1...11",0.0722288067472655,0.744530632519541,0.00439,6.1,0.412075788618199,0.154037707499694
"y1...12",0.0780483355744524,0.906745431075826,0.01813,3.8,0.242593541159455,0.100561595045249
"y1...13",0.0996443758309238,1.21779802520186,0.02135,2.9,0.172231811079418,0.0897928422769078
"y1...14",0.137454984101932,1.75728567912619,0.00029,2.5,0.115804456708939,0.086767957186256
"y1...15",0.127682663393725,1.49371759460871,0.00044,3.5,0.159975137281756,0.108540192366702
"y1...16",0.111658380533045,1.38585739861775,9e-04,3.4,0.157147925350715,0.0975120979105123
"y1...17",0.0150647261735923,0.198603515952271,0.00906,14.4,1.06300363166148,0.123587250467506
"y1...18",0.0790731652080087,0.949849621773834,0.00157,5.3,0.26432825576093,0.118542334383002
"y1...19",0.030975053942948,0.352999705413706,0.0053,10.9,0.871313941942393,0.169329702137506
"y1...20",0.1063272752304,1.3233694214518,2e-05,4,0.173568945970968,0.104436462787409
"y1...21",0.093605339341142,1.11646727191694,0.00022,4.9,0.231029991087316,0.120375589593384
"y1...22",0.0467064637017444,0.603152058879363,0.00225,8.2,0.436570327836029,0.129440972619469
"y1...23",0.0656848101373542,0.850766354780551,0.00176,6.2,0.289708295386601,0.116342203945073
"y1...24",0.0414821817790426,0.490655669496587,0.01802,6.2,0.436619027140504,0.107563735863514
