"","G","r","eps","T3","L","M"
"mu...1",62.7808497748845,31.3176051227212,0.00161,6,0.257077213578357,0.132222222449179
"mu...2",62.7228648078906,30.8815299871048,0.00162,6,0.257077193094236,0.132344461105243
"mu...3",62.8505414509005,31.4182404525196,0.00161,6,0.257077193285837,0.132075612295196
"mu...4",62.6453421109565,31.3806623976868,0.00153,6.1,0.260454026880808,0.134270615452232
"mu...5",62.7241634080222,31.3420336629146,0.00161,6,0.25707723669218,0.132341712051157
"mu...6",62.7411144159264,31.4385028503999,0.00161,6,0.257077222020716,0.132305959872936
"mu...7",62.6461489692174,31.253060770014,0.00162,6,0.25707720210037,0.132506527292276
"mu...8",62.7481019076572,30.7054735166701,0.00162,6,0.257077225797583,0.132291225771697
"mu...9",62.7990073083099,31.3639974699207,0.00161,6,0.257077210043879,0.132183992829918
"mu...10",62.7072737427992,30.9571251139615,0.00162,6,0.257077213737543,0.132377362214412
"mu...11",62.699184465476,31.0053483764464,0.00162,6,0.257077210642652,0.132394441415794
"mu...12",62.6999967744598,30.9891569210801,0.00162,6,0.257077202796513,0.132392728226735
"mu...13",62.7906205542466,31.2936075573551,0.00161,6,0.257077211229991,0.132201648208028
"mu...14",62.7639302384375,31.2295096840706,0.00153,6.1,0.260454028657537,0.134016920197396
"mu...15",62.7320522248966,30.7089782268992,0.00162,6,0.257077239386864,0.132325068872516
"mu...16",62.79865468717,31.1314704759728,0.00153,6.1,0.260454043000278,0.133942812413948
"mu...17",62.7649202024314,30.6599132096071,0.00162,6,0.257077220382342,0.13225577865192
"mu...18",62.7425937109166,31.0086117491892,0.00162,6,0.257077215338415,0.132302841993643
"mu...19",62.7854343092651,31.2226588341126,0.00161,6,0.257077221958184,0.132212565805579
"mu...20",62.7563610867474,31.6986610404855,0.00161,6,0.257077209623238,0.132273818636516
"mu...21",62.7459679128409,31.0368243968637,0.00162,6,0.2570771966481,0.132295731279277
"mu...22",62.6394862175679,30.7516402967618,0.00162,6,0.25707720644056,0.132520620554499
"mu...23",62.7174265623049,31.4771862042722,0.00161,6,0.257077213702893,0.1323559324217
"mu...24",62.7499351575731,31.2264350055037,0.00153,6.1,0.260454007565434,0.134046814220114
"mu...25",62.6182879528377,31.3519613053864,0.00162,6,0.257077185210235,0.132565487111026
"mu...26",62.7635206882758,31.1273525243481,0.00162,6,0.257077216275236,0.132258728554917
"mu...27",62.7222676958667,31.8318724206222,0.00161,6,0.257077208201995,0.132345717915279
"mu...28",62.7067923732078,31.0864840365899,0.00162,6,0.25707721619471,0.132378377689829
"mu...29",62.783455141142,30.937468587464,0.00162,6,0.25707721385978,0.132216735376062
"mu...30",62.6105537943534,31.1538315661719,0.00162,6,0.257077211538992,0.132581857475928
"mu...31",62.7112829417608,30.8251565330931,0.00162,6,0.257077206132875,0.132368900621831
"mu...32",62.79919246307,31.2102029546054,0.00161,6,0.257077206054564,0.132183603844036
"mu...33",62.6503811539977,31.0776590984246,0.00162,6,0.257077209330604,0.132497574343028
"mu...34",62.5799907326475,30.8131920540983,0.00162,6,0.257077203221719,0.132646609968304
"mu...35",62.7367731929601,31.2735774154509,0.00153,6.1,0.260454017251235,0.134074934748973
"mu...36",62.8097285628383,31.3560586381041,0.00161,6,0.257077203064336,0.132161431195931
"mu...37",62.7596200218458,31.0300292442686,0.00162,6,0.257077221060864,0.132266947873789
"mu...38",62.8750950765584,31.1135203833097,0.00161,6,0.257077206107397,0.132024032511771
"mu...39",62.6934393409239,31.2968667332845,0.00153,6.1,0.260454028888691,0.134167605012875
"mu...40",62.783624187063,31.3407669795795,0.00161,6,0.257077225859552,0.132216376877794
"mu...41",62.7853713011301,31.3073096529869,0.00161,6,0.257077208444922,0.132212701454922
"mu...42",62.700288422138,30.9721417494635,0.00162,6,0.257077194850638,0.132392113985536
"mu...43",62.672533479045,31.1655891887018,0.00162,6,0.257077216275421,0.132450740141763
"mu...44",62.6593497945226,30.8116404449497,0.00162,6,0.25707722472261,0.132478606461976
"mu...45",62.8102650383138,31.0386470866868,0.00162,6,0.257077228517169,0.132160296807607
"mu...46",62.8243245140263,31.1401353372384,0.00153,6.1,0.260454028469948,0.133888086571004
"mu...47",62.6043131362964,30.6035020539316,0.00162,6,0.257077214462731,0.132595073189527
"mu...48",62.8866062466505,30.8776896912686,0.00162,6,0.25707723301254,0.131999860184906
"mu...49",62.793729383073,30.8864727865745,0.00162,6,0.257077202862928,0.132195104521024
"mu...50",62.7102137348836,31.00045370895,0.00162,6,0.257077198909042,0.132371159123765
"mu...51",62.6890291007143,30.5717591861646,0.00162,6,0.257077193094402,0.132415892558151
