"","lambda","eps","T4","L","M"
"time...1",0.0407613776474341,0.01072,48.9,93.5732841712458,48.0614471501028
"time...2",0.0392061154545504,0.01089,56.1,93.7329371050003,49.2848170956127
"time...3",0.0411316819437008,0.01096,46.7,90.7590928058474,46.4160351265388
"time...4",0.0417059912512367,0.01068,44.9,92.783628400425,47.0512531420771
"time...5",0.0387138226396637,0.01088,59.4,94.837599871948,50.2167385536147
"time...6",0.0424134570284296,0.01094,41.8,88.1612630697781,44.3276501836205
"time...7",0.0405976892191018,0.01082,48.8,91.0353972450888,46.9311713894256
"time...8",0.0399822816297212,0.01111,51.7,90.7802833373877,47.1969593299408
"time...9",0.0394809735550571,0.01109,54.9,90.8811096558746,47.5558245003431
"time...10",0.0405568106158443,0.01091,49.8,91.05004192396,46.8921261226441
"time...11",0.0409206349500332,0.01113,47.6,89.6997556835494,45.9978934226995
"time...12",0.0398342283758944,0.01091,52.9,91.675745313983,47.7412203941498
"time...13",0.0399160226454568,0.0108,53,94.019966855492,48.8695339600867
"time...14",0.0400273861740107,0.01098,51.8,90.777636950371,47.1466012126612
"time...15",0.0388517612853898,0.01099,58.2,93.4853714799156,49.4130202099598
"time...16",0.039632341143719,0.01099,53.9,91.3196132274754,47.6968517468628
"time...17",0.0419842844224337,0.01085,42.8,88.8435330743947,44.9818740432464
"time...18",0.0404007575864932,0.01086,49.8,91.0403346602055,47.0536617274771
"time...19",0.0401997158114227,0.01077,50.9,93.3758165794682,48.3923664931363
"time...20",0.042441576885317,0.01061,42,92.4128957756121,46.437243888885
"time...21",0.0397888550950868,0.01076,53,94.0360915088317,49.0218612421402
"time...22",0.0412439846577751,0.01099,46.7,90.785718503434,46.3136325718024
"time...23",0.0414246331068811,0.01082,45.8,90.4791113321832,46.0688168228784
"time...24",0.0397518724108532,0.01103,53.9,91.2975961196378,47.5531122600451
"time...25",0.0410624895763205,0.01094,46.7,90.7426904580679,46.4794006582309
"time...26",0.0399936175764311,0.01111,51.7,90.7796179619012,47.1842908614771
"time...27",0.0393086186246974,0.01106,56,92.5792532970104,48.5609883298151
