"","G","r","eps","T2","L","M"
"mu...1",62.7481911293953,31.142314936846,0.05696,39.9,22.4929220620937,11.5884631555698
"mu...2",62.640958507367,30.9659377479645,0.05117,39.8,22.1981091421529,11.4561509496153
"mu...3",62.7260415346686,30.9856098124209,0.04949,44.2,39.6671977809075,20.4439506382129
"mu...4",62.7411113871879,30.7233651541886,0.04196,36.7,14.7465056088076,7.59832875274371
"mu...5",62.7343272668499,31.5618836826418,0.04319,39.8,22.1981087253638,11.4391018988936
"mu...6",62.7307550495687,31.2905102985125,0.03499,40.4,24.0267685874676,12.3821497044834
"mu...7",62.692630646448,31.2020408033157,0.04129,39,19.9745405043751,10.3000996656197
"mu...8",62.7117518515183,30.5843195670189,0.03991,39.5,21.3366523741986,10.9991348250065
"mu...9",62.687743752019,30.9357654536305,0.0516,38.6,18.9477301830705,9.77137624590018
"mu...10",62.8634523666583,30.9971303475787,0.04583,37.8,17.049749583437,8.76800808684664
"mu...11",62.5755801461213,31.1854428467474,0.04079,37,15.3418884337661,7.92601854643118
"mu...12",62.7315161790052,31.422761316226,0.06102,35.4,12.4222544684082,6.40170796873346
"mu...13",62.6081461677179,31.3778945587789,0.05211,42.2,30.467269967022,15.7319994179532
"mu...14",62.8266707562829,31.0805279428034,0.05738,36.6,14.5532243936913,7.48852575387118
"mu...15",62.7526776567117,30.789871056073,0.05072,36.5,14.3624763318129,7.39908834757693
"mu...16",62.8145982209299,31.1736762251109,0.0545,36.2,13.8051022128422,7.10493642574935
"mu...17",62.7330424361493,30.8338892056419,0.03797,42.4,31.2819160857981,16.1204870130105
"mu...18",62.7649468418951,30.6532251360349,0.03681,43.4,35.6937625181497,18.3846913364173
"mu...19",62.7575233988983,30.7912089389793,0.03788,38.3,18.2124130561089,9.38172962169102
"mu...20",62.7305686441307,31.7249601100703,0.03355,49.6,80.8809145808716,41.6819442262139
"mu...21",62.6829398495502,31.0639785942596,0.06289,34.6,11.1779264890633,5.76491692223021
"mu...22",62.6773027248293,31.4793459789162,0.04712,51.5,103.923586399785,53.6024934267157
"mu...23",62.5680688740478,30.6986002362939,0.03213,47.3,59.7115551466789,30.8522456133385
"mu...24",62.7695936341317,30.6168177356744,0.05013,38.4,18.4542921944958,9.5044998132407
"mu...25",62.8213667271331,30.6859693023824,0.0646,34.1,10.4643379680109,5.38499788988831
"mu...26",62.6894320100186,31.228957987105,0.05762,36.6,14.5532237541652,7.50492052126962
"mu...27",62.7797016155106,31.0297712634894,0.06071,34.7,11.3263804208257,5.83247745384335
"mu...28",62.7138471365052,30.6881339642493,0.05171,41.2,26.7014319696032,13.7642431198691
"mu...29",62.6842540113568,31.0775979368515,0.03404,40.8,25.3288202981582,13.0628424447912
"mu...30",62.7399256670926,30.7352579341921,0.04752,39.9,22.4929224128983,11.5899885926153
"mu...31",62.6559748506323,31.0848194179919,0.04561,38.8,19.4543619401659,10.037733646695
"mu...32",62.7680890775516,31.141581677691,0.04897,39.6,21.6200241177431,11.1352116533254
"mu...33",62.6361784356008,31.0332659478343,0.03758,45.5,47.0890802242275,24.3039068075619
"mu...34",62.6399072863221,30.7865271351323,0.05776,36,13.4455891845523,6.93920730053545
"mu...35",62.6013969730707,31.0702057000413,0.05072,34.9,11.6292296235855,6.00548485938923
"mu...36",62.7533735008797,31.1779537152245,0.05974,33.6,9.7963038964637,5.04668701684695
"mu...37",62.7436207241114,31.1336376375889,0.05704,35.1,11.940176595519,6.15208456646469
"mu...38",62.706827593016,31.1248328476914,0.05017,38.1,17.7381246242194,9.14479636492924
"mu...39",62.7555544400821,30.654464820434,0.04305,40.2,23.4010623918909,12.0549270524803
"mu...40",62.7759463025252,31.1568621609906,0.05374,35.2,12.0987535903674,6.23058107741854
"mu...41",62.6709196723203,30.8005662790638,0.04438,39.9,22.4929217799677,11.6027514514116
"mu...42",62.7205823063281,30.8147542582922,0.04678,39.1,20.2398217633274,10.4322452867365
"mu...43",62.7263401841084,30.6511539554937,0.03216,42,29.673840121091,15.293432209359
"mu...44",62.7428483215867,31.2512141840237,0.05067,37.6,16.6057389612929,8.55608613236669
"mu...45",62.6697872483909,30.875212200302,0.05999,35.7,12.9237967866007,6.66673396989494
"mu...46",62.7502495943779,30.7991190762671,0.0476,35.4,12.4222547400596,6.39979639000316
"mu...47",62.7696816243419,30.7195767603848,0.0662,39.8,22.1981086603491,11.432658808692
"mu...48",62.6575566346743,31.1426918803823,0.05766,38.5,18.6993833835841,9.64795025957893
"mu...49",62.7654781098853,31.4378492903237,0.05897,34.4,10.8868300122768,5.60740334083429
"mu...50",62.7738168371975,30.9653867381366,0.04947,35.2,12.0987539330551,6.23079198831004
"mu...51",62.7754986420862,30.5459395597832,0.05053,39.8,22.1981090952277,11.4315983281609
