"","alpha","beta","eps","T2","L","M"
"time...1",0.153912735827718,1.88568806644518,0.03906,40.8,23.9808876451986,20.3095605732678
"time...2",0.127348411102998,1.63890669850037,0.03976,45.5,33.4544455163552,24.6638134489578
"time...3",0.0797627105605642,1.14769541791803,0.05137,42.2,11.7243431716577,6.10124531240254
"time...4",0.0426784908332183,0.432437866617784,0.03588,36.3,34.0685425254763,8.11561793026687
"time...5",0.164109052971488,2.31073348663946,0.05436,49.7,24.9886381350033,25.2029908290576
"time...6",0.0765890721719384,0.898360770692869,0.08548,32.7,11.9163869046697,5.14415655216254
"time...7",0.102827779889405,1.33024238459687,0.03657,47,41.1443372680804,24.9568635075666
"time...8",0.072719815470212,0.90187909725128,0.05261,36.3,14.2426710158716,6.10368223603474
"time...9",0.0624290050344091,0.827062554833763,0.05596,37.6,11.74138631578,4.59693715442603
"time...10",0.0105148463113941,0.112859192445835,0.06781,52.6,37.5986492096623,3.07852309776063
"time...11",0.0531234031966946,0.593831285016909,0.05176,33.4,16.1425146519554,4.89740077121205
"time...12",0.166340319723421,2.01388944894639,0.04652,39,19.6544152466081,17.7386713229985
"time...13",0.0256318268688006,0.34204599851817,0.06084,48.8,30.613241477258,5.56208798779832
"time...14",0.0456417488012777,0.529482688841412,0.04484,38.2,24.1647920431442,6.58546257019481
"time...15",0.0103281478692222,0.122177328498619,0.03806,67,92.4463476333431,7.72445589415468
"time...16",0.188547812976066,1.92616414200954,0.04383,34.5,31.3707118575443,27.8561823803967
"time...17",0.157357012696343,1.93101695134712,0.04254,36.7,13.1953303208447,11.4251976999662
"time...18",0.204921151033131,2.25171349913558,0.04547,33.9,16.5368331046619,16.8113530085281
"time...19",0.183225706494981,2.23262765721232,0.04285,45.3,44.3508486454484,44.0873129758646
"time...20",0.071239787375943,0.774368597604526,0.04327,35.6,26.8163893056139,10.3109274122638
"time...21",0.108359529651119,1.24920203027422,0.03217,41.9,47.2639313120633,27.5795378911804
"time...22",0.0588846711598207,0.667306793510964,0.0599,32.3,13.2986032592301,4.44867641442293
"time...23",0.0932694293281118,1.22494476622562,0.05558,36.8,10.4081521878021,5.83604076638147
"time...24",0.108851319123669,1.38022674384687,0.0472,37.9,14.279410618027,8.99071855721985
"time...25",0.143143499984971,1.74261962902164,0.03582,42.2,31.3923049968403,24.7117714677443
"time...26",0.0453177859550932,0.551316795136791,0.04167,36.4,15.3540200558985,4.28273187850393
