"","lambda","eps","T2","L","M"
"time...1",0.0410101196262797,0.16229,47.4,87.2562275981818,44.6551939840683
"time...2",0.0392347776068713,0.28777,58.5,125.101294375071,65.7339308628866
"time...3",0.0399387429287221,0.16136,34.2,8.66973225525729,4.50397606757612
"time...4",0.0411962200431973,0.20922,47.3,98.8271980807662,50.4695636526991
"time...5",0.038701328367558,0.44485,46.9,22.7042756375737,12.0255583300715
"time...6",0.0402555355251981,0.12581,29.4,5.53177182780967,2.86320232951107
"time...7",0.0394829411718013,0.25621,42.1,19.1999668014173,10.0464020626041
"time...8",0.041394643059146,0.26505,53.1,263.423983735967,134.215417182847
"time...9",0.0394906824578327,0.27047,41.5,17.8401421418245,9.33318498221358
"time...10",0.0411243535215893,0.21227,41.9,45.9806971637495,23.5192996068846
"time...11",0.0398335110411986,0.2062,40.6,19.5176874449814,10.1642335096411
"time...12",0.0387611713829602,0.45976,38.9,9.09206168008701,4.80882900016085
"time...13",0.0414454844116238,0.30213,39.3,35.904639563787,18.272959402585
"time...14",0.0414696744369329,0.29858,56.2,412.290661847936,209.715016022562
"time...15",0.040276709335717,0.08983,32,7.78576048671512,4.02789999213757
"time...16",0.0414396190816932,0.30636,35.6,21.041051858615,10.7098193164737
"time...17",0.041871652522521,0.46204,35.5,26.1217227668738,13.2278265921383
"time...18",0.0399987608177311,0.13972,41.9,25.6191704308275,13.3144336293287
"time...19",0.0422410995600517,0.48631,65.6,3705.18613898742,1869.9206014764
"time...20",0.0404962250553728,0.03772,41,28.4062797562878,14.6497822024663
"time...21",0.0415749755792759,0.34213,40.6,49.2275679075014,25.0357167443048
"time...22",0.0407112199568104,0.09902,36,16.1065861088797,8.28208782453477
"time...23",0.041478895737378,0.31683,42.9,60.3948653112917,30.7140794069765
"time...24",0.0403309255738162,0.08407,33.5,9.48321740404808,4.89999611563617
"time...25",0.0417071260687695,0.42797,40,45.0864241782967,22.863082977681
"time...26",0.0390071753273106,0.38963,40.9,13.7006394629678,7.22621203062132
"time...27",0.0404564233565078,0.04544,37.3,17.308585985842,8.93451818619999
