"","x"
"1",83
"2",104
"3",40.3
"4",27.6
"5",23
"6",7.3
"7",8.2
"8",8.7
"9",7.1
"10",2.3
"11",15.7
"12",67.3
"13",18.4
"14",10.3
"15",83.9
"16",51.7
"17",38.2
"18",33.2
"19",61.9
"20",88.6
"21",72.4
"22",28.7
"23",72.7
"24",20.6
"25",27.7
"26",8.4
"27",14
"28",10.4
"29",10.9
"30",2.1
"31",15.4
"32",4.1
"33",5.6
"34",11.6
"35",8.1
"36",14
"37",10
"38",6.3
"39",120.3
"40",38.2
"41",44.2
"42",6.2
"43",8.1
"44",61.6
"45",27.7
"46",70.1
"47",11.4
"48",9.2
"49",5.6
"50",11
"51",3.6
"52",38.6
"53",29.6
"54",29
"55",22.8
"56",10.1
"57",18.3
"58",6.9
"59",59.9
"60",37.2
"61",5.5
"62",64
"63",11.3
"64",14.7
"65",35.2
"66",39.7
"67",54
"68",30.6
"69",10.7
"70",5.2
"71",0.9
"72",4.9
"73",1
"74",4.2
"75",29.9
"76",1.9
"77",11.8
"78",5.3
"79",24.3
"80",30.3
"81",6.2
"82",22.8
"83",11.3
"84",18.3
"85",37.4
"86",64.2
"87",7.5
"88",20.5
"89",5.5
"90",12.3
"91",4.4
"92",39.8
"93",8.9
"94",57.6
"95",23.1
"96",30.3
"97",34.3
"98",101.3
"99",21.3
"100",80.8
"101",57.1
"102",18.3
"103",34
"104",17.1
"105",20.5
"106",6.6
"107",19
"108",46.2
"109",16.2
"110",18.7
"111",59.5
"112",59.6
"113",45.7
"114",8.6
"115",37.3
"116",23.4
"117",37.6
"118",19.8
"119",23.5
"120",25.1
"121",1.8
"122",14.8
"123",15.1
"124",5
"125",5.4
"126",44.8
"127",2.5
"128",6
"129",23
"130",2.9
"131",12.7
"132",7.3
"133",9.9
"134",39.1
"135",32.2
"136",96.8
"137",12.1
"138",5.2
"139",109.3
"140",50.7
"141",11.8
"142",44.9
"143",52.8
"144",67
"145",18.6
"146",10.3
"147",10.6
"148",10.2
"149",31.5
"150",38.9
"151",35.7
"152",8.1
"153",13.1
"154",38.8
"155",48.8
"156",29.1
"157",30.1
"158",23.1
"159",11
"160",3
"161",8
"162",21
"163",7.9
"164",34.6
"165",23.4
"166",22.9
"167",39
"168",44.6
"169",57.8
"170",41.2
"171",21.4
"172",9.8
"173",1.6
"174",13.8
"175",3.3
"176",37.5
"177",2.3
"178",18.8
"179",15.3
"180",90.5
"181",29.2
"182",16.8
"183",76.8
"184",3.6
"185",23.9
"186",20.7
"187",0.6
"188",10.4
"189",78.9
"190",22.6
"191",12.4
"192",23.7
"193",85.1
"194",10.6
"195",13.4
"196",31
"197",4.3
"198",5
"199",12
"200",2.1
"201",10.8
"202",2.3
"203",54.9
"204",3.3
"205",27.6
"206",1.9
"207",27.2
"208",56.2
"209",119.8
"210",18.8
"211",10.7
"212",25
"213",59.8
"214",56.1
"215",72.8
"216",21.5
"217",17.1
"218",38.4
"219",8.8
"220",19.2
"221",28
"222",25.5
"223",18.3
"224",21.4
"225",35.5
"226",24.9
"227",27.6
"228",7.1
"229",14.5
"230",41.6
"231",9.8
"232",37.9
"233",28.6
"234",62.4
"235",24.9
"236",12.3
"237",5.5
"238",4.3
"239",24.5
"240",6.9
"241",10.4
"242",21.4
"243",38.4
"244",5.8
"245",24.6
"246",28.3
"247",74.6
"248",12.2
"249",32.3
"250",25.7
"251",11.3
"252",4.6
"253",36.5
"254",5.1
"255",6.6
"256",6
"257",37.2
"258",40.1
"259",64.3
"260",33.6
"261",33.7
"262",1.5
"263",9.1
"264",49.8
"265",60.1
"266",66.1
"267",31.4
"268",6.2
"269",4.3
"270",49.2
"271",16.1
"272",25.7
"273",89.6
"274",66.4
"275",27.7
"276",33
"277",15.7
"278",50.5
"279",29.2
"280",21.7
"281",3.5
"282",61.8
"283",22.7
"284",13.1
"285",2.4
"286",5.5
"287",172.8
"288",26.9
"289",42.9
"290",52.7
"291",15.8
"292",16.7
"293",2.7
"294",8.5
"295",15.3
"296",6.4
"297",31.4
"298",28.8
"299",20.9
"300",12.4
"301",14.9
"302",37
"303",32.2
"304",12
"305",12.9
"306",22.6
"307",36.5
"308",26.9
"309",11.4
"310",3.3
"311",43.5
"312",27.5
"313",9.3
"314",1.8
"315",19.6
"316",4.4
"317",4.4
"318",38.8
"319",44.1
"320",1.5
"321",8
"322",17.9
"323",41
"324",55
"325",47.6
"326",4.5
"327",2.1
"328",26.8
"329",22.8
"330",10
"331",14.8
"332",0.7
"333",39.8
"334",37.1
"335",54.6
"336",3.8
"337",4.4
"338",36.9
"339",30.7
"340",6.5
"341",3.3
"342",10.8
"343",3.5
"344",42.7
"345",27
"346",1.9
"347",7.7
"348",24.8
"349",24.5
"350",5.3
"351",13.6
"352",23.2
"353",53.4
"354",14.7
